,Biden,Trump,diff,pollster_id,weight,times,weight_Biden,weight_Trump,weight_diff
0,36.9,37.1,-0.20000000000000284,1474,1.7431828335569668,4,0.015976792751413678,0.02203201665264485,1.7240034759532938
1,41.2,37.2,4.0,1474,1.7010400772530265,4,0.04504108211990641,0.021991057315475605,0.06277428740963244
2,39.6,38.0,1.6000000000000014,1474,1.6828655190836435,4,0.02805158537869691,0.026327889921215628,0.2138032464921819
3,39.4,44.5,-5.100000000000001,1474,1.6500891063795793,4,0.026137959137960756,0.7383191689904343,0.047491992227957545
4,50.8,49.2,1.5999999999999943,1102,6.521864021637312,1,0.2192057930903501,0.24072698516354932,0.8285841531567542
5,43.0,43.0,0.0,1486,7.217097086275505,1,0.38220412114950686,0.8045970654508334,4.965857000667196
6,47.0,43.0,4.0,1499,6.482694603906079,1,2.3680433331105384,0.7227223067894962,0.23923394850969232
7,39.0,46.0,-7.0,568,6.732656753226201,1,0.09666920991994105,1.6747248104601442,0.11081924713205868
8,44.0,45.0,-1.0,1523,6.477225575051661,1,0.5787392866030018,6.412515660594752,2.011522415732989
9,47.0,48.0,-1.0,1361,6.481328880894694,1,2.3675444524028095,0.4040655984537328,2.012796710040981
